Lua Diagnostics | Errors: 0 | Warnings: 1846 | EmmyLua Types: /workspace/.emmylua
Info: 0 | Hints: 374 | Total: 2220 | Time: 2026-06-19 23:08:57 | Dir: /workspace/scripts
---
WARN  | editor_level.lua:325:13 | Undefined field `editorNode`. [undefined-field]
WARN  | editor_level.lua:325:34 | Undefined field `editorNode`. [undefined-field]
WARN  | editor_level.lua:326:25 | Undefined field `scene`. [undefined-field]
WARN  | editor_level.lua:332:13 | Undefined field `panel`. [undefined-field]
WARN  | editor_level.lua:332:29 | Undefined field `panel`. [undefined-field]
WARN  | editor_level.lua:333:13 | Undefined field `propsPanel`. [undefined-field]
WARN  | editor_level.lua:333:34 | Undefined field `propsPanel`. [undefined-field]
WARN  | editor_level.lua:334:13 | Undefined field `editorNode`. [undefined-field]
WARN  | editor_level.lua:334:34 | Undefined field `editorNode`. [undefined-field]
WARN  | editor_level.lua:335:25 | Undefined field `scene`. [undefined-field]
WARN  | editor_level.lua:337:13 | Undefined field `assetBrowserOpen`. [undefined-field]
WARN  | editor_level.lua:338:14 | Undefined field `_closeAssetBrowser`. [undefined-field]
WARN  | editor_level_data.lua:546:20 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | editor_level_data.lua:529:24 | src may be nil [need-check-nil]
WARN  | editor_level_data.lua:530:31 | src may be nil [need-check-nil]
WARN  | editor_level_data.lua:534:27 | src may be nil [need-check-nil]
WARN  | editor_level_data.lua:535:27 | src may be nil [need-check-nil]
WARN  | editor_level_data.lua:539:32 | src may be nil [need-check-nil]
WARN  | editor_level_data.lua:542:21 | src may be nil [need-check-nil]
WARN  | editor_level_data.lua:543:36 | src may be nil [need-check-nil]
WARN  | editor_level_data.lua:546:20 | src may be nil [need-check-nil]
WARN  | editor_level_data.lua:546:48 | src may be nil [need-check-nil]
WARN  | editor_level_data.lua:546:67 | src may be nil [need-check-nil]
WARN  | editor_level_data.lua:548:31 | src may be nil [need-check-nil]
WARN  | editor_level_data.lua:550:34 | src may be nil [need-check-nil]
WARN  | editor_level_data.lua:550:62 | src may be nil [need-check-nil]
WARN  | editor_level_data.lua:552:32 | zone may be nil [need-check-nil]
WARN  | editor_level_data.lua:552:45 | zone may be nil [need-check-nil]
WARN  | editor_level_data.lua:552:57 | zone may be nil [need-check-nil]
WARN  | editor_level_data.lua:553:32 | zone may be nil [need-check-nil]
WARN  | editor_level_data.lua:557:20 | src may be nil [need-check-nil]
WARN  | editor_level_data.lua:558:32 | src may be nil [need-check-nil]
WARN  | editor_level_data.lua:423:31 | Undefined field `levels`. [undefined-field]
WARN  | editor_level_data.lua:428:28 | Undefined field `levels`. [undefined-field]
WARN  | editor_level_data.lua:509:32 | Undefined field `levels`. [undefined-field]
WARN  | editor_level_data.lua:509:49 | Undefined field `levels`. [undefined-field]
WARN  | editor_level_data.lua:510:40 | Undefined field `levels`. [undefined-field]
WARN  | editor_level_data.lua:550:49 | Undefined field `[((ei - 1) % #src.spawnZones) + 1]`. [undefined-field]
WARN  | editor_level_ui.lua:91:12 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_level_ui.lua:6:20 | Cannot resolve module `urhox-libs/UI`. [unresolved-require]
WARN  | editor_level_ui.lua:822:28 | Cannot resolve module `urhox-libs/UI`. [unresolved-require]
WARN  | editor_ui.lua:741:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | editor_ui.lua:768:12 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | editor_ui.lua:774:16 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_ui.lua:870:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | editor_ui.lua:856:23 | elem may be nil [need-check-nil]
WARN  | editor_ui.lua:857:23 | elem may be nil [need-check-nil]
WARN  | editor_ui.lua:860:20 | elem may be nil [need-check-nil]
WARN  | editor_ui.lua:260:38 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:285:38 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:310:38 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:335:38 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:379:51 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:435:30 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:525:23 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:554:30 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:566:23 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:593:10 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:596:32 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:604:18 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:625:14 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:651:10 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:715:10 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:725:13 | Undefined field `imageCache`. [undefined-field]
WARN  | editor_ui.lua:726:21 | Undefined field `imageCache`. [undefined-field]
WARN  | editor_ui.lua:731:14 | Undefined field `imageCache`. [undefined-field]
WARN  | editor_ui.lua:791:31 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:800:27 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:845:31 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:902:31 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:1020:36 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:1050:14 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:530:46 | Undefined field `name`. [undefined-field]
WARN  | editor_ui.lua:530:67 | Undefined field `align`. [undefined-field]
WARN  | editor_ui.lua:533:43 | Undefined field `x`. [undefined-field]
WARN  | editor_ui.lua:536:43 | Undefined field `y`. [undefined-field]
WARN  | editor_ui.lua:539:43 | Undefined field `w`. [undefined-field]
WARN  | editor_ui.lua:542:43 | Undefined field `h`. [undefined-field]
WARN  | editor_ui.lua:1043:27 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:1049:32 | Undefined field `elements`. [undefined-field]
WARN  | editor_ui.lua:5:20 | Cannot resolve module `urhox-libs/UI`. [unresolved-require]
WARN  | main.lua:144:24 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | main.lua:198:12 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | main.lua:199:12 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | main.lua:204:12 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | main.lua:205:12 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | main.lua:211:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | main.lua:224:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | main.lua:226:12 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | main.lua:243:12 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | main.lua:246:16 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | main.lua:251:12 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | main.lua:256:12 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | main.lua:196:9 | Cannot call expression of type `never`. [call-non-callable]
WARN  | main.lua:197:9 | Cannot call expression of type `never`. [call-non-callable]
WARN  | main.lua:202:9 | Cannot call expression of type `never`. [call-non-callable]
WARN  | main.lua:203:9 | Cannot call expression of type `never`. [call-non-callable]
WARN  | main.lua:167:13 | levelEditor may be nil [need-check-nil]
WARN  | main.lua:168:13 | levelEditor may be nil [need-check-nil]
WARN  | main.lua:170:13 | uiEditor may be nil [need-check-nil]
WARN  | main.lua:171:13 | uiEditor may be nil [need-check-nil]
WARN  | main.lua:196:9 | tabLevel may be nil [need-check-nil]
WARN  | main.lua:197:9 | tabUI may be nil [need-check-nil]
WARN  | main.lua:202:9 | tabLevel may be nil [need-check-nil]
WARN  | main.lua:203:9 | tabUI may be nil [need-check-nil]
WARN  | main.lua:37:12 | Undefined field `CreateComponent`. [undefined-field]
WARN  | main.lua:40:25 | Undefined field `CreateChild`. [undefined-field]
WARN  | main.lua:41:31 | Undefined field `CreateComponent`. [undefined-field]
WARN  | main.lua:3:9 | Cannot resolve module `LuaScripts/Utilities/Sample`. [unresolved-require]
WARN  | main.lua:5:20 | Cannot resolve module `urhox-libs/UI`. [unresolved-require]
WARN  | editor_mode.lua:29:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:30:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:31:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:32:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:33:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:34:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:35:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:41:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:58:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:63:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:64:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:82:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:94:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:100:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:107:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | editor_mode.lua:126:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:140:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:167:12 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:198:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:210:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:215:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:287:24 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | editor_mode.lua:352:12 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:353:12 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:358:12 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | editor_mode.lua:359:12 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
